PLATE,MJD,RACEN,DECCEN,RUN2D,RUN1D,QUALITY,SN^2,N_gal,N_QSO,N_star,N_unk,N_sky,SURVEY,PROG,CHUNK,TILEID,PUBLIC
3683,55245,120.20,42.92,v5_7_0,v5_7_0,good,18.4,535,110,203,82,70,boss,boss,boss2,10116,DR9
3683,55178,120.20,42.92,v5_7_0,v5_7_0,good,25.6,507,110,213,100,70,boss,boss,boss2,10116,DR9
3684,55246,120.53,48.90,v5_7_0,v5_7_0,good,19.8,548,67,196,64,125,boss,boss,boss2,10111,DR9
3686,55268,121.66,46.19,v5_7_0,v5_7_0,good,19.7,527,93,186,84,110,boss,boss,boss2,10118,DR9
3687,55269,122.43,47.83,v5_7_0,v5_7_0,good,16.8,565,81,166,92,96,boss,boss,boss2,10119,DR9
3688,55273,123.24,49.48,v5_7_0,v5_7_0,good,17.0,555,93,168,104,80,boss,boss,boss2,10120,DR9
3689,55180,124.08,51.13,v5_7_0,v5_7_0,good,22.2,561,87,175,97,80,boss,boss,boss2,10121,DR9
3690,55182,124.97,52.79,v5_7_0,v5_7_0,good,30.3,524,77,207,112,80,boss,boss,boss2,10122,DR9
3691,55274,123.47,45.10,v5_7_0,v5_7_0,good,21.4,485,98,200,69,148,boss,boss,boss2,10123,DR9
3692,55186,124.26,46.73,v5_7_0,v5_7_0,good,39.3,505,93,197,125,80,boss,boss,boss2,10124,DR9
3693,55208,125.09,48.37,v5_7_0,v5_7_0,good,13.6,483,105,149,149,114,boss,boss,boss2,10125,DR9
3694,55209,125.96,50.01,v5_7_0,v5_7_0,good,18.4,540,95,170,88,107,boss,boss,boss2,10126,DR9
3695,55212,126.87,51.65,v5_7_0,v5_7_0,good,25.4,529,98,217,76,80,boss,boss,boss2,10127,DR9
3696,55277,127.76,48.85,v5_7_0,v5_7_0,good,15.9,506,96,157,79,162,boss,boss,boss2,10128,DR9
3697,55290,128.69,50.48,v5_7_0,v5_7_0,good,16.1,558,81,179,102,80,boss,boss,boss2,10129,DR9
3698,55501,120.89,54.76,v5_7_0,v5_7_0,good,15.6,560,95,147,118,80,boss,boss,boss2,10103,DR9
3699,55517,121.31,50.56,v5_7_0,v5_7_0,good,16.5,457,92,170,121,160,boss,boss,boss2,10112,DR9
3700,55542,122.12,52.22,v5_7_0,v5_7_0,good,14.8,477,59,147,121,196,boss,boss,boss2,10113,DR9
3701,55540,122.97,53.89,v5_7_0,v5_7_0,good,15.3,523,111,188,98,80,boss,boss,boss2,10114,DR9
