 obs_wave   obs_eint  obs_pint
 672.3563  9.0497e-02    16.40
 672.3604  1.0897e-01    19.74
 672.3644  9.8797e-02    17.90
 672.3685  1.0215e-01    18.51
 672.3725  9.8491e-02    17.85
 672.3766  8.9533e-02    16.22
 672.3807  9.3700e-02    16.98
 672.3847  9.8471e-02    17.84
 672.3888  9.2364e-02    16.74
 672.3929  9.0941e-02    16.48
 672.3969  9.7581e-02    17.68
 672.4010  9.6904e-02    17.56
 672.4051  8.5788e-02    15.54
 672.4091  8.5250e-02    15.45
 672.4132  8.6260e-02    15.63
 672.4172  8.5655e-02    15.52
 672.4213  8.6229e-02    15.62
 672.4254  8.6003e-02    15.58
 672.4294  8.8799e-02    16.09
 672.4335  9.0088e-02    16.32
 672.4376  8.5495e-02    15.49
 672.4416  9.0670e-02    16.43
 672.4457  9.0944e-02    16.48
 672.4498  8.7375e-02    15.83
 672.4538  8.4805e-02    15.37
 672.4579  9.0128e-02    16.33
 672.4620  9.2561e-02    16.77
 672.4660  9.1417e-02    16.57
 672.4701  8.8712e-02    16.08
 672.4741  8.4781e-02    15.36
 672.4782  8.4551e-02    15.32
 672.4823  8.3099e-02    15.06
 672.4863  8.7176e-02    15.80
 672.4904  8.8229e-02    15.99
 672.4945  8.7520e-02    15.86
 672.4985  9.6224e-02    17.44
 672.5026  8.4590e-02    15.33
 672.5067  8.1713e-02    14.81
 672.5107  8.2563e-02    14.96
 672.5148  8.4541e-02    15.32
 672.5188  8.1182e-02    14.71
 672.5229  9.1034e-02    16.50
 672.5270  9.0654e-02    16.43
 672.5310  9.4397e-02    17.11
 672.5351  1.0221e-01    18.52
 672.5392  9.7097e-02    17.60
 672.5432  9.5977e-02    17.39
 672.5473  9.3794e-02    17.00
 672.5514  8.9467e-02    16.21
 672.5554  8.5090e-02    15.42
 672.5595  8.4686e-02    15.35
 672.5636  9.4719e-02    17.17
 672.5676  9.6628e-02    17.51
 672.5717  9.2795e-02    16.82
 672.5757  8.5147e-02    15.43
 672.5798  8.2180e-02    14.89
 672.5839  8.6206e-02    15.62
 672.5879  8.3763e-02    15.18
 672.5920  8.4317e-02    15.28
 672.5961  8.8948e-02    16.12
 672.6001  8.2686e-02    14.99
 672.6042  8.6727e-02    15.72
 672.6083  9.4957e-02    17.21
 672.6123  9.9763e-02    18.08
 672.6164  9.8387e-02    17.83
 672.6204  8.9722e-02    16.26
 672.6245  8.1643e-02    14.80
 672.6286  8.9324e-02    16.19
 672.6326  9.2636e-02    16.79
 672.6367  8.6808e-02    15.73
 672.6408  9.2584e-02    16.78
 672.6448  8.5565e-02    15.51
 672.6489  8.1732e-02    14.81
 672.6530  8.0087e-02    14.52
 672.6570  8.0100e-02    14.52
 672.6611  8.5398e-02    15.48
 672.6652  8.3187e-02    15.08
 672.6692  8.1203e-02    14.72
 672.6733  8.6939e-02    15.76
 672.6773  9.7835e-02    17.73
 672.6814  8.9285e-02    16.18
 672.6855  8.6370e-02    15.66
 672.6895  9.0828e-02    16.46
 672.6936  9.0009e-02    16.32
 672.6977  8.5415e-02    15.48
 672.7017  9.3813e-02    17.01
 672.7058  8.8803e-02    16.10
 672.7099  8.9894e-02    16.30
 672.7139  8.8886e-02    16.11
 672.7180  8.6634e-02    15.70
 672.7220  8.7761e-02    15.91
 672.7261  8.3096e-02    15.06
 672.7302  8.7288e-02    15.82
 672.7342  9.1965e-02    16.67
 672.7383  9.3452e-02    16.94
 672.7424  8.7894e-02    15.93
 672.7464  8.2768e-02    15.00
 672.7505  8.5284e-02    15.46
 672.7546  9.0329e-02    16.38
 672.7586  9.5813e-02    17.37
 672.7627  9.7460e-02    17.67
 672.7668  9.0417e-02    16.39
 672.7708  8.7965e-02    15.95
 672.7749  9.2174e-02    16.71
 672.7789  9.6213e-02    17.44
 672.7830  9.3171e-02    16.89
 672.7871  9.2774e-02    16.82
 672.7911  9.9440e-02    18.03
 672.7952  9.9719e-02    18.08
 672.7993  1.0005e-01    18.14
 672.8033  1.0357e-01    18.78
 672.8074  9.4951e-02    17.21
 672.8115  9.3612e-02    16.97
 672.8155  9.3313e-02    16.92
 672.8196  9.2460e-02    16.76
 672.8236  9.0842e-02    16.47
 672.8277  8.7884e-02    15.93
 672.8318  9.4002e-02    17.04
 672.8358  9.1191e-02    16.53
 672.8399  8.8803e-02    16.10
 672.8440  8.8135e-02    15.98
 672.8480  8.6541e-02    15.69
 672.8521  8.1019e-02    14.69
 672.8562  8.2562e-02    14.97
 672.8602  8.8610e-02    16.07
 672.8643  9.3397e-02    16.93
 672.8684  8.8863e-02    16.11
 672.8724  8.9445e-02    16.22
 672.8765  8.5241e-02    15.46
 672.8805  9.3984e-02    17.04
 672.8846  1.0245e-01    18.58
 672.8887  1.0027e-01    18.18
 672.8927  1.0388e-01    18.84
 672.8968  9.1900e-02    16.66
 672.9009  9.3155e-02    16.89
 672.9049  8.9587e-02    16.24
 672.9090  7.9833e-02    14.48
 672.9131  9.5210e-02    17.26
 672.9171  9.0879e-02    16.48
 672.9212  9.4883e-02    17.21
 672.9252  9.3572e-02    16.97
 672.9293  8.8994e-02    16.14
 672.9334  8.9680e-02    16.26
 672.9374  8.9491e-02    16.23
 672.9415  8.7468e-02    15.86
 672.9456  8.7514e-02    15.87
 672.9496  8.5172e-02    15.45
 672.9537  7.5528e-02    13.70
 672.9578  8.7748e-02    15.91
 672.9618  8.1499e-02    14.78
 672.9659  8.5610e-02    15.52
 672.9700  8.6378e-02    15.66
 672.9740  8.5889e-02    15.58
 672.9781  9.2713e-02    16.81
 672.9821  9.1304e-02    16.56
 672.9862  9.9173e-02    17.98
 672.9903  9.9967e-02    18.13
 672.9943  9.9104e-02    17.97
 672.9984  1.0001e-01    18.14
 673.0025  1.0311e-01    18.70
 673.0065  1.0745e-01    19.49
 673.0106  1.0632e-01    19.28
 673.0147  1.0441e-01    18.94
 673.0187  1.0499e-01    19.04
 673.0228  1.0078e-01    18.28
 673.0268  1.0368e-01    18.80
 673.0309  1.0735e-01    19.47
 673.0350  1.1031e-01    20.01
 673.0390  1.0849e-01    19.68
 673.0431  8.9066e-02    16.15
 673.0472  9.3853e-02    17.02
 673.0512  9.3058e-02    16.88
 673.0553  8.6722e-02    15.73
 673.0594  8.5242e-02    15.46
 673.0634  9.3409e-02    16.94
 673.0675  9.1824e-02    16.65
 673.0716  8.9076e-02    16.16
 673.0756  9.4351e-02    17.11
 673.0797  9.6502e-02    17.50
 673.0837  9.5466e-02    17.32
 673.0878  9.6052e-02    17.42
 673.0919  1.0516e-01    19.07
 673.0959  1.0514e-01    19.07
 673.1000  1.0797e-01    19.58
 673.1041  1.0849e-01    19.68
 673.1081  9.8269e-02    17.82
 673.1122  9.1799e-02    16.65
 673.1163  1.0160e-01    18.43
 673.1203  9.8961e-02    17.95
 673.1244  9.7995e-02    17.78
 673.1284  1.0156e-01    18.42
 673.1325  1.0572e-01    19.18
 673.1366  1.0605e-01    19.24
 673.1406  1.0261e-01    18.61
