 obs_wave   obs_eint  obs_pint
 315.4058  1.0598e+00    90.07
 315.4083  1.2577e+00   106.90
 315.4108  9.4019e-01    79.91
 315.4133  4.4156e-01    37.53
 315.4158  1.6995e-01    14.44
 315.4183 -8.6502e-02    -7.35
 315.4208 -2.1203e-01   -18.02
 315.4233  8.6161e-02     7.32
 315.4258  2.6660e-01    22.66
 315.4283  1.6653e-01    14.15
 315.4308  2.2647e-01    19.25
 315.4333  2.1378e-01    18.17
 315.4358  1.0857e-01     9.23
 315.4383  4.9334e-02     4.19
 315.4408  6.7051e-02     5.70
 315.4433  1.0760e-01     9.15
 315.4458  1.2029e-01    10.22
 315.4483  1.2889e-01    10.96
 315.4508  1.3588e-01    11.55
 315.4533  7.9560e-02     6.76
 315.4558  4.5325e-03     0.39
 315.4583  1.1722e-02     1.00
 315.4608 -5.3406e-03    -0.45
 315.4633  8.8136e-02     7.49
 315.4658  1.4952e-01    12.71
 315.4683  1.6443e-01    13.98
 315.4708  2.9917e-01    25.43
 315.4733  2.8540e-01    24.26
 315.4758  1.1296e-01     9.60
 315.4783  7.0880e-02     6.03
 315.4808  1.4279e-01    12.14
 315.4833  9.3280e-02     7.93
 315.4858  2.9399e-01    24.99
 315.4883  3.6789e-01    31.28
 315.4908  2.1394e-01    18.19
 315.4933  2.7946e-01    23.76
 315.4958  2.2643e-01    19.25
 315.4983  2.2681e-01    19.28
 315.5008  3.3382e-01    28.38
 315.5033  3.0142e-01    25.63
 315.5058  1.4839e-01    12.62
 315.5083  1.1502e-01     9.78
 315.5108  2.5171e-01    21.40
 315.5133  3.5647e-01    30.31
 315.5158  3.6476e-01    31.01
 315.5183  3.1463e-01    26.75
 315.5208  2.3884e-01    20.31
 315.5233  2.0191e-01    17.17
 315.5258  1.2890e-01    10.96
 315.5283  3.8360e-02     3.26
 315.5308  4.9635e-02     4.22
 315.5333  6.3436e-02     5.39
 315.5358  3.5927e-02     3.05
 315.5383 -6.2333e-03    -0.53
 315.5408  1.8487e-01    15.72
 315.5433  2.5531e-01    21.71
 315.5458  9.2143e-02     7.83
 315.5483  1.1539e-01     9.81
 315.5508  2.6901e-01    22.87
 315.5533  2.9658e-01    25.22
 315.5558  1.6587e-01    14.10
 315.5583  1.1436e-01     9.72
 315.5608  7.1035e-02     6.04
 315.5633  1.3146e-01    11.18
 315.5658  1.6738e-01    14.23
 315.5683  6.4118e-02     5.45
 315.5708 -4.4504e-02    -3.78
 315.5733 -4.7151e-02    -4.01
 315.5758  7.4088e-02     6.30
 315.5783  1.0636e-01     9.04
 315.5808  1.0419e-02     0.89
 315.5833 -1.2500e-01   -10.63
 315.5858 -6.4472e-02    -5.48
 315.5883  5.6785e-02     4.83
 315.5908 -3.4797e-02    -2.96
 315.5933 -1.0778e-01    -9.17
 315.5958  1.6405e-03     0.14
 315.5983  1.1795e-01    10.03
 315.6008  4.4079e-01    37.49
 315.6033  1.0563e+00    89.84
 315.6058  7.8669e-01    66.90
 315.6083  2.8980e-01    24.65
 315.6108  1.1470e-01     9.75
 315.6133 -1.0976e-01    -9.33
 315.6158 -3.4594e-02    -2.94
 315.6183  1.2694e-02     1.08
 315.6208 -7.5768e-02    -6.44
 315.6233 -8.1312e-02    -6.92
 315.6258  5.8323e-02     4.96
 315.6283  8.2768e-02     7.04
 315.6308  3.9573e-02     3.37
 315.6333  1.7727e-01    15.08
 315.6358  2.9180e-01    24.82
 315.6383  2.2256e-01    18.93
 315.6408  7.7429e-02     6.59
 315.6433  1.5517e-02     1.32
 315.6458  2.8886e-02     2.46
 315.6483  1.9286e-02     1.64
 315.6508  9.1916e-02     7.82
 315.6533  1.0559e-01     8.98
 315.6558  1.3283e-01    11.30
 315.6583  1.8599e-01    15.82
 315.6608  1.3463e-01    11.45
 315.6633  1.7907e-02     1.52
 315.6658  1.4367e-02     1.22
 315.6683  1.6877e-01    14.36
 315.6708  2.3516e-01    20.00
 315.6733  1.3992e-02     1.19
 315.6758  1.8480e-02     1.57
 315.6783  1.6364e-01    13.92
 315.6808  1.2037e-01    10.24
 315.6833  1.7877e-01    15.21
 315.6858  2.2457e-01    19.10
 315.6883  2.1326e-01    18.14
 315.6908  2.2285e-01    18.96
 315.6933  1.9037e-01    16.20
 315.6958 -4.1895e-03    -0.36
 315.6983 -2.1640e-01   -18.41
 315.7008 -3.0492e-01   -25.94
 315.7033 -1.8311e-01   -15.58
 315.7058  6.1244e-02     5.21
 315.7083  9.5462e-02     8.12
